City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Axim,GH,2020-06-17 05:12:18,4.87,-2.24,298.42,89,98,4.19
70,Shingu,JP,2020-06-17 05:12:19,33.73,135.98,299.15,69,75,3.1
71,Avarua,CK,2020-06-17 05:10:05,-21.21,-159.78,295.15,68,0,4.6
72,Marsa Matruh,EG,2020-06-17 05:12:19,31.35,27.25,295.55,75,0,8.64
73,Dhuri,IN,2020-06-17 05:12:20,30.37,75.87,314.35,19,0,4.58
74,Ndungu,TZ,2020-06-17 05:12:20,-4.37,38.05,293.24,67,17,3.32
75,Nobres,BR,2020-06-17 05:12:20,-14.72,-56.33,293.16,71,0,2.18
76,Atuona,PF,2020-06-17 05:12:21,-9.8,-139.03,299.96,77,58,8.33
77,Ponta Do Sol,PT,2020-06-17 05:12:21,32.67,-17.1,293.15,88,40,0.5
78,Huarmey,PE,2020-06-17 05:12:21,-10.07,-78.15,289.95,86,51,5.0
79,Ahipara,NZ,2020-06-17 05:12:22,-35.17,173.17,288.34,80,100,4.09
80,Georgetown,MY,2020-06-17 05:09:29,5.41,100.34,305.15,74,40,1.0
81,Arraial Do Cabo,BR,2020-06-17 05:12:22,-22.97,-42.03,294.43,72,48,7.46
82,Klyuchi,RU,2020-06-17 05:12:22,52.27,79.17,294.31,43,10,7.84
83,Oriximina,BR,2020-06-17 05:12:23,-1.77,-55.87,297.34,91,90,1.3
84,Raudeberg,NO,2020-06-17 05:12:23,61.99,5.14,290.15,93,36,0.5
85,Assiniboia,CA,2020-06-17 05:12:23,49.63,-105.98,286.6,91,98,6.77
86,Hami,CN,2020-06-17 05:12:23,42.8,93.45,307.95,10,16,1.68
87,New Norfolk,AU,2020-06-17 05:12:23,-42.78,147.06,284.82,73,41,0.89
88,Kondinskoye,RU,2020-06-17 05:12:24,59.65,67.41,291.41,73,65,4.32
89,Rosamorada,MX,2020-06-17 05:12:24,22.12,-105.21,299.18,66,0,0.87
90,Eston,CA,2020-06-17 05:12:24,51.15,-108.75,289.15,63,90,1.0
91,Port Elizabeth,ZA,2020-06-17 05:12:25,-33.92,25.57,281.15,100,0,1.0
92,Shieli,KZ,2020-06-17 05:12:25,44.17,66.75,297.16,27,0,4.93
93,Yichun,CN,2020-06-17 05:12:25,47.7,128.9,287.67,64,71,3.89
94,Tara,RU,2020-06-17 05:12:26,56.89,74.37,293.54,55,6,4.9
95,Ixtapa,MX,2020-06-17 05:12:26,20.7,-105.2,299.82,83,85,0.45
96,Puerto Gaitan,CO,2020-06-17 05:08:15,4.31,-72.08,296.77,92,99,4.12
97,Ballina,AU,2020-06-17 05:12:26,-28.87,153.57,293.15,72,90,5.7
98,Mar Del Plata,AR,2020-06-17 05:12:26,-38.0,-57.56,287.59,100,75,1.0
99,Faanui,PF,2020-06-17 05:12:27,-16.48,-151.75,298.97,85,98,5.24
100,Hilo,US,2020-06-17 05:12:27,19.73,-155.09,296.48,87,86,2.24
