City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rainfall over last hr (inches),Snowfall over last hr (inches)
59,Luebo,CD,-5.35,21.42,72.59,46,0,1.63,clear sky,0.0,0.0
60,Calama,CL,-22.47,-68.93,71.6,10,0,23.04,clear sky,0.0,0.0
61,Muros,ES,42.78,-9.06,66.0,78,100,8.99,overcast clouds,0.0,0.0
62,Port Blair,IN,11.67,92.75,82.51,83,83,10.98,broken clouds,0.0,0.0
63,Port Elizabeth,ZA,-33.92,25.57,59.0,93,65,5.82,broken clouds,0.0,0.0
64,Abu Samrah,SY,35.3,37.18,70.27,65,0,13.94,clear sky,0.0,0.0
65,Ribeira Grande,PT,38.52,-28.7,68.0,88,40,14.99,scattered clouds,0.0,0.0
66,Urucui,BR,-7.23,-44.56,87.04,49,25,5.55,scattered clouds,0.0,0.0
67,Rocha,UY,-34.48,-54.33,56.93,79,0,6.55,clear sky,0.0,0.0
68,Tucuman,AR,-26.82,-65.22,75.2,44,1,4.7,clear sky,0.0,0.0
69,Ponta Do Sol,PT,32.67,-17.1,71.6,64,40,13.87,scattered clouds,0.0,0.0
70,Karasjok,NO,69.47,25.51,53.6,62,0,4.7,clear sky,0.0,0.0
71,Cap Malheureux,MU,-19.98,57.61,72.0,77,97,8.01,overcast clouds,0.0,0.0
72,Bucarasica,CO,8.04,-72.87,87.8,48,40,25.28,scattered clouds,0.0,0.0
73,Albion,US,42.24,-84.75,88.0,45,75,3.36,broken clouds,0.0,0.0
74,Namibe,AO,-15.2,12.15,71.71,55,0,7.56,clear sky,0.0,0.0
75,Dori,BF,14.04,-0.03,99.39,23,100,9.62,overcast clouds,0.0,0.0
76,Veraval,IN,20.9,70.37,85.1,78,96,14.79,light rain,0.4,0.0
77,Mitu,CO,1.2,-70.17,85.39,65,76,1.52,light rain,0.6,0.0
78,Mahebourg,MU,-20.41,57.7,71.6,73,40,16.11,scattered clouds,0.0,0.0
79,Garowe,SO,8.41,48.48,86.36,39,82,18.32,broken clouds,0.0,0.0
80,Maceio,BR,-9.67,-35.74,80.6,69,40,16.11,scattered clouds,0.0,0.0
81,Atar,MR,20.52,-13.05,104.18,11,54,9.98,broken clouds,0.0,0.0
82,Biskupiec,PL,53.86,20.96,66.72,90,100,5.14,overcast clouds,0.0,0.0
